,player_id,name_first,name_last,country,current_elo,matches_played,peak_elo,peak_elo_date
5977,105992,Ryan,Harrison,USA,1696.844514,279,1838.954451,20180212
4268,104269,Fernando,Verdasco,ESP,1695.291582,1002,2059.840609,20100425
26090,126106,Ryan,Peniston,GBR,1695.178364,9,1810.570749,20220627
6171,106186,Jason,Kubler,AUS,1695.136942,31,1804.719467,20220711
5369,105379,Aljaz,Bedene,SLO,1694.901616,299,1837.927532,20180423
11561,111577,Jared,Donaldson,USA,1694.33814,113,1853.574729,20170925
52108,200005,Ugo,Humbert,FRA,1693.044982,150,2021.827274,20210724
1989,101990,Richard,Krajicek,NED,1692.663398,76,1842.306298,20000828
34852,134868,Tallon,Griekspoor,NED,1692.289762,65,1809.00736,20220117
2881,102882,Mark,Philippoussis,AUS,1692.053686,241,1892.291877,20030404
4653,104655,Pablo,Cuevas,URU,1690.797333,464,1893.76054,20160711
5363,105373,Martin,Klizan,SVK,1690.719367,303,1909.966271,20181001
5247,105255,Bassam,Beidas,LIB,1690.686728,5,1690.686728,20130405
4892,104897,Matthias,Bachinger,GER,1690.144654,86,1727.419305,20180917
5538,105550,Guido,Pella,ARG,1690.026345,259,1896.278815,20190812
5348,105357,John,Millman,AUS,1689.822207,266,1856.490469,20210614
5855,105870,Yannick,Hanfmann,GER,1689.684032,67,1846.653475,20170724
5917,105932,Nikoloz,Basilashvili,GEO,1688.667229,312,1901.771704,20181008
3400,103401,Jan,Hernych,CZE,1687.21494,197,1763.580857,20040712
54207,202104,Sebastian,Baez,ARG,1686.853444,63,1911.428819,20220711
6283,106298,Lucas,Pouille,FRA,1686.480118,268,2004.362941,20161003
5887,105902,James,Duckworth,AUS,1686.326629,142,1813.843713,20210201
59900,207797,Jonas,Forejtek,CZE,1686.149375,4,1686.149375,20201109
3597,103598,Xavier,Malisse,BEL,1685.229328,531,1811.971593,20080327
24100,124116,Sebastian,Ofner,AUT,1684.584709,25,1845.697493,20170731
4970,104976,Ryan,Sweeting,USA,1683.244105,92,1800.871811,20110404
5419,105430,Radu,Albot,MDA,1683.163371,224,1846.710914,20190527
2276,102277,Bing Chao,Lin,TPE,1682.769544,3,1682.769544,20000204
6314,106329,Thiago,Monteiro,BRA,1681.340685,170,1777.968832,20160718
6199,106214,Oscar,Otte,GER,1680.982107,65,1920.177191,20220627
6050,106065,Marco,Cecchinato,ITA,1680.637033,181,1884.218215,20180625
2343,102344,Karol,Kucera,SVK,1678.05793,193,1787.367845,20021230
4676,104678,Viktor,Troicki,SRB,1676.86573,571,1964.111561,20110410
3757,103758,Taylor,Dent,USA,1675.915504,287,1835.007647,20050808
6056,106071,Bernard,Tomic,AUS,1675.854166,371,1916.955497,20120116
2561,102562,Jiri,Novak,CZE,1675.65522,395,1889.753082,20041004
5374,105385,Donald,Young,USA,1675.338934,316,1872.226935,20170320
4663,104665,Pablo,Andujar,ESP,1673.600935,404,1781.082953,20120423
52539,200436,Zsombor,Piros,HUN,1673.598476,10,1703.412768,20211128
4521,104523,Frederico,Gil,POR,1673.332559,143,1771.662045,20090209
26507,126523,Bernabe,Zapata Miralles,ESP,1673.200991,45,1740.434527,20220523
3427,103428,Juan Ignacio,Chela,ARG,1672.924562,602,1848.633171,20070520
4384,104386,Janko,Tipsarevic,SRB,1671.850132,550,2013.160193,20120806
5570,105583,Dusan,Lajovic,SRB,1669.733879,380,1847.703875,20190415
4310,104312,Andreas,Seppi,ITA,1669.3268,810,1885.030392,20130114
5043,105051,Matthew,Ebden,AUS,1668.990031,207,1826.028709,20120308
4325,104327,Steve,Darcis,BEL,1667.723819,256,1854.343536,20080225
60206,208103,Jiri,Lehecka,CZE,1667.608739,34,1714.233337,20220207
24063,124079,Pedro,Martinez,ESP,1667.554759,102,1844.360812,20210726
2927,102928,Hee Seok,Chung,KOR,1666.765691,10,1666.765691,20060210
11175,111190,Zhizhen,Zhang,CHN,1666.636033,24,1725.631492,20190930
3655,103656,Albert,Montanes,ESP,1666.496731,544,1859.847201,20101025
2337,102338,Yevgeny,Kafelnikov,RUS,1666.012139,322,1916.185136,20010910
52617,200514,Jurij,Rodionov,AUT,1665.882488,27,1683.376395,20220207
2886,102887,Ramon,Delgado,PAR,1665.187808,111,1695.347953,20100311
26829,126845,Max,Purcell,AUS,1665.027317,21,1763.314117,20210823
1961,101962,Younes,El Aynaoui,MAR,1665.019038,299,1841.986908,20020225
2700,102701,Marcelo,Rios,CHI,1663.822079,182,1824.219492,20021021
27323,127339,Borna,Gojo,CRO,1663.586205,18,1726.14227,20220523
6383,106398,Pedro,Cachin,ARG,1663.377754,18,1675.716265,20221017
5867,105882,Stefano,Travaglia,ITA,1663.340356,83,1770.889393,20210105
52487,200384,Hugo,Gaston,FRA,1661.996609,53,1919.387517,20211101
3811,103812,Victor,Hanescu,ROU,1661.199269,445,1788.585941,20100621
4272,104273,Edouard,Roger-Vasselin,FRA,1661.116374,209,1811.763988,20140319
4959,104965,Pavol,Cervenak,SVK,1660.738303,12,1724.122312,20120709
4532,104534,Dudi,Sela,ISR,1660.673766,336,1775.354748,20070406
1964,101965,Wayne,Ferreira,RSA,1659.211262,224,1829.920291,20000320
3083,103084,Guillermo,Canas,ARG,1659.127575,381,1916.052559,20070305
2256,102257,Greg,Rusedski,GBR,1659.080064,292,1876.502706,20020107
4197,104198,Guillermo,Garcia Lopez,ESP,1658.856601,653,1868.331372,20101010
5629,105643,Federico,Delbonis,ARG,1658.794795,363,1840.336572,20160516
6106,106121,Taro,Daniel,JPN,1658.683961,176,1808.276176,20180820
23779,123795,Altug,Celikbilek,TUR,1658.131887,20,1668.78205,20221010
4584,104586,Lukas,Rosol,CZE,1657.621108,284,1875.694002,20140817
6234,106249,Joao,Domingues,POR,1657.366707,14,1773.281382,20190429
4581,104583,Filip,Polasek,SVK,1657.330105,2,1657.330105,20080919
4715,104719,Marcel,Granollers,ESP,1656.685165,453,1872.531987,20131230
3823,103824,Orest,Tereshchuk,UKR,1656.290879,17,1683.336537,20050923
5643,105657,Marius,Copil,ROU,1656.179703,157,1762.239402,20181022
6094,106109,Alex,Bolt,AUS,1656.083911,39,1760.595532,20210201
6219,106234,Aslan,Karatsev,RUS,1656.080721,113,2045.597431,20210419
1716,101717,Diego,Nargiso,ITA,1656.007424,12,1738.641613,20000925
6281,106296,Gregoire,Barrere,FRA,1655.040123,44,1701.017322,20200203
4458,104460,Dustin,Brown,GER,1654.979084,161,1816.144119,20160718
33281,133297,Yosuke,Watanuki,JPN,1654.573507,15,1745.405996,20220516
4330,104332,Philipp,Petzschner,GER,1654.097172,196,1856.653438,20110606
5775,105790,Yong Kyu,Lim,KOR,1653.760238,19,1671.756758,20150306
3332,103333,Ivo,Karlovic,CRO,1653.52693,719,1914.590185,20081012
5635,105649,Cedrik Marcel,Stebe,GER,1653.349672,82,1743.11739,20110718
6316,106331,Christopher,Oconnell,AUS,1652.833036,36,1696.471045,20220919
3851,103852,Feliciano,Lopez,ESP,1652.393176,996,1921.86268,20141005
52519,200416,August,Holmgren,DEN,1652.207755,4,1652.207755,20210917
3912,103913,Ian,Flanagan,GBR,1652.12255,3,1691.782346,20040607
4166,104167,Todd,Widom,USA,1651.465438,10,1670.456954,20090209
31889,131905,Manuel,Guinard,FRA,1650.996725,9,1650.996725,20221017
2270,102271,Hicham,Arazi,MAR,1650.686907,234,1837.057667,20010514
5200,105208,Ernests,Gulbis,LAT,1648.969235,484,2033.369929,20140526
3580,103581,Flavio,Saretta,BRA,1648.352229,157,1768.896219,20030428
5985,106000,Damir,Dzumhur,BIH,1647.851224,261,1929.829654,20170925
5366,105376,Peter,Gojowczyk,GER,1646.839763,175,1886.645837,20180219
4251,104252,Florian,Mayer,GER,1646.831884,508,1904.705056,20111031
5970,105985,Darian,King,BAR,1646.550784,45,1793.252755,20170915
2958,102959,Marko,Tkalec,SLO,1646.278466,30,1704.387042,20050923
4649,104651,Martin,Alund,ARG,1646.061933,17,1723.726357,20130408
62200,210097,Ben,Shelton,USA,1645.445666,6,1711.266415,20220815
5218,105226,Attila,Balazs,HUN,1645.268348,54,1761.761424,20200217
36424,136440,Dominik,Koepfer,GER,1644.841484,85,1866.880692,20210628
4097,104098,Dmitry,Tursunov,RUS,1644.351021,457,1888.411718,20080327
6393,106408,Mario,Vilella Martinez,ESP,1644.285311,10,1659.509259,20210405
1773,101774,Todd,Martin,USA,1643.403101,146,1816.653214,20020311
4228,104229,Yen Hsun,Lu,TPE,1642.39487,398,1773.231012,20160822
3336,103337,Ben Qiang,Zhu,CHN,1641.934528,24,1697.66171,20030404
4232,104233,Frederik,Nielsen,DEN,1641.626944,57,1666.94402,20180203
2232,102233,Leander,Paes,IND,1641.279047,40,1748.753421,20040409
5056,105064,Thomaz,Bellucci,BRA,1640.710429,421,1882.388364,20100719
11781,111797,Nicolas,Jarry,CHI,1640.246566,126,1859.341425,20190715
34456,134472,Antoine,Bellier,SUI,1640.222109,12,1640.222109,20221017
2609,102610,Albert,Costa,ESP,1640.175622,286,1844.91335,20031013
4469,104471,Ivan,Dodig,CRO,1640.053595,258,1922.011512,20110418
3095,103096,Arnaud,Clement,FRA,1639.551938,541,1817.158143,20010406
23998,124014,Ernesto,Escobedo,MEX,1639.419494,55,1775.614565,20170410
3599,103600,Mohammad,Ghareeb,KUW,1638.800718,43,1729.301292,20070406
6160,106175,Ricardo,Rodriguez,VEN,1638.770361,32,1711.28367,20150717
2106,102107,Jan Frode,Andersen,NOR,1637.819285,34,1637.819285,20060721
3526,103527,Julien,Jeanpierre,FRA,1637.319798,5,1685.054596,20040524
3751,103752,Simon,Greul,GER,1637.27196,117,1739.376178,20060320
3192,103193,Peter,Wessels,NED,1637.16133,70,1794.205521,20000214
5475,105487,Facundo,Bagnis,ARG,1636.857907,111,1716.731994,20220103
6201,106216,Bjorn,Fratangelo,USA,1636.627552,61,1693.049714,20170828
2643,102644,Franco,Squillari,ARG,1635.95151,206,1864.951298,20000717
2702,102703,Hyung Taik,Lee,KOR,1635.168479,302,1763.77735,20030317
5452,105464,Christopher,Rungkat,INA,1635.024246,31,1699.323732,20120914
1884,101885,Wayne,Arthurs,AUS,1634.64074,259,1720.519658,20030428
4658,104660,Sergiy,Stakhovsky,UKR,1634.35792,388,1836.249475,20100830
5546,105558,Guillaume,Rufin,FRA,1634.085828,44,1673.692542,20130320
6313,106328,Christian,Harrison,USA,1634.061667,15,1668.304645,20210104
3631,103632,Luis,Horna,PER,1633.116169,278,1772.787581,20040823
11745,111761,Benjamin,Lock,ZIM,1632.870284,11,1710.620451,20200306
4024,104025,Amer,Delic,BIH,1632.857218,89,1684.941843,20080303
3788,103789,Irakli,Labadze,GEO,1632.198349,133,1678.014122,20080411
4731,104735,Tobias,Kamke,GER,1631.434542,166,1702.347755,20140714
5033,105041,Lukas,Lacko,SVK,1631.431032,246,1771.110387,20120130
4720,104724,Eduardo,Schwank,ARG,1631.343926,105,1747.228638,20080211
6346,106361,Adam,Pavlasek,CZE,1630.426086,15,1676.921095,20160718
33959,133975,Benjamin,Hassan,GER,1630.315181,12,1758.127344,20200306
3693,103694,Olivier,Rochus,BEL,1630.121025,515,1858.205267,20060220
4199,104200,Juan Manuel,Elizondo,MEX,1629.915444,2,1629.915444,20070720
4913,104919,Leonardo,Mayer,ARG,1629.800749,378,1859.80421,20140714
5375,105386,Janez,Semrajc,SLO,1628.980206,5,1677.601652,20130913
6030,106045,Denis,Kudla,USA,1628.331084,191,1742.21453,20210830
2904,102905,Stefan,Koubek,AUT,1627.05921,392,1694.372159,20000529
6105,106120,Ricardo,Ojeda Lara,ESP,1627.058865,6,1679.913488,20180101
2034,102035,Jonas,Bjorkman,SWE,1626.557454,383,1791.096261,20030207
4067,104068,Robby,Ginepri,USA,1625.804526,393,1883.166759,20050725
8958,108973,Carl,Sundberg,NOR,1624.32181,2,1624.32181,20060721
3807,103808,Potito,Starace,ITA,1624.073776,355,1759.65385,20080714
4393,104395,Marcel,Felder,URU,1623.890406,35,1658.917584,20100305
26133,126149,Gianluca,Mager,ITA,1623.849322,59,1807.039708,20200217
3205,103206,Sebastien,Grosjean,FRA,1623.295527,485,1875.277677,20030609
2838,102839,Nicolas,Lapentti,ECU,1623.013567,403,1793.96573,20010507
3386,103387,Paradorn,Srichaphan,THA,1622.255591,418,1871.082502,20020304
3450,103451,Bjorn,Phau,GER,1621.330594,212,1642.246534,20110103
5066,105074,Ruben,Bemelmans,BEL,1621.253339,91,1755.023095,20171016
10670,110685,G D,Jones,NZL,1621.238979,10,1661.633047,20080208
4905,104910,Tihomir,Grozdanov,BUL,1620.459095,6,1620.459095,20150717
8578,108593,Wing Luen,Wong,HKG,1620.373819,13,1646.500665,20060210
4602,104604,Ruben,Gonzales,PHI,1620.061897,15,1652.995382,20160304
3174,103175,Toshihide,Matsui,JPN,1619.88173,6,1649.484553,20070924
2109,102110,Daniel,Nestor,CAN,1619.386049,37,1689.545124,20030919
3226,103227,Mariano,Sanchez,MEX,1619.27225,2,1619.27225,20000721
5302,105311,Joao,Sousa,POR,1619.234609,469,1851.721293,20160118
5805,105820,Juan Carlos,Saez,CHI,1619.155194,3,1619.155194,20150918
4717,104721,Josselin,Ouanna,FRA,1619.055937,26,1721.180898,20100524
4993,104999,Mischa,Zverev,GER,1618.689854,334,1839.206276,20170918
52718,200615,Alexei,Popyrin,AUS,1618.539203,109,1865.203467,20210222
4213,104214,Igor,Andreev,RUS,1618.3232,469,1884.655803,20080728
4629,104631,Harshana,Godamanna,SRI,1617.889037,19,1689.348729,20130405
26519,126535,Carlos,Taberner,ESP,1617.282955,36,1726.918943,20220425
3589,103590,Michael,Quintero,COL,1617.121172,12,1638.359796,20020208
3901,103902,Jan,Mertl,CZE,1616.834708,3,1645.717658,20160718
4972,104978,Daniel,Brands,GER,1616.756786,153,1794.429792,20131230
10733,110748,Nikola,Milojevic,SRB,1615.775881,14,1727.095613,20200928
5209,105217,Thiemo,De Bakker,NED,1615.354038,164,1848.684477,20100419
5600,105613,Norbert,Gombos,SVK,1615.311582,84,1729.956415,20210712
2432,102433,Mose,Navarra,ITA,1615.100563,3,1615.100563,20020405
2455,102456,Felix,Mantilla,ESP,1614.948523,243,1806.591449,20010409
4497,104499,Jimmy,Wang,TPE,1614.854876,89,1770.061464,20041004
6268,106283,Mitchell,Krueger,USA,1614.600586,24,1614.600586,20220919
1722,101723,Magnus,Larsson,SWE,1614.498386,58,1772.248498,20000214
5444,105456,Sergio,Galdos,PER,1614.44912,6,1667.018808,20130201
3908,103909,Guillermo,Coria,ARG,1614.393848,335,2005.96811,20030505
3996,103997,Lukasz,Kubot,POL,1614.390305,229,1817.953351,20100208
2130,102131,Alistair,Hunt,NZL,1613.97795,10,1613.97795,20030404
1896,101897,Fernando,Meligeni,BRA,1612.627198,133,1682.599456,20010625
3592,103593,Marcelo,Barboza,URU,1611.545657,2,1611.545657,20010720
5005,105011,Illya,Marchenko,UKR,1611.530244,160,1770.190957,20100324
3945,103946,Bruno,Soares,BRA,1611.242336,2,1611.242336,20110708
52162,200059,Yibing,Wu,CHN,1611.13022,15,1614.778181,20220829
